STATE_NAME_2011,SSC_NAME_2011,POA_CODE_2011
Victoria,Moorabbin,3189
Victoria,Moorabbin Airport,3194
Victoria,Mordialloc,3195
Victoria,Parkdale,3195
Victoria,Malvern (Vic.),3144
Victoria,Kooyong,3144
Victoria,Malvern East,3145
Victoria,Bundoora (Vic.),3083
Victoria,Greensborough,3088
Victoria,St Helena,3088
Victoria,Eltham North,3095
Victoria,Rosanna,3084
Victoria,Heidelberg,3084
Victoria,Heidelberg West,3081
Victoria,Bellfield,3081
Victoria,Heidelberg Heights,3081
Victoria,Ivanhoe (Vic.),3079
Victoria,Eaglemont,3084
Victoria,Ivanhoe East,3079
Victoria,Montmorency,3094
Victoria,Briar Hill,3088
Victoria,Lower Plenty,3093
Victoria,Yallambie,3085
Victoria,Viewbank,3084
Victoria,Macleod (Vic.),3085
Victoria,Watsonia,3087
Victoria,Watsonia North,3087
Victoria,Bundoora (Vic.),3086
Victoria,Kingsbury,3083
Victoria,Preston (Vic.),3072
Victoria,Reservoir (Vic.),3073
Victoria,Eltham (Vic.),3095
Victoria,Hurstbridge,3099
Victoria,Kinglake Central,3757
Victoria,Kinglake,3763
Victoria,Kinglake West,3757
Victoria,Pheasant Creek (Vic.),3757
Victoria,Toolangi,3777
Victoria,Castella,3777
Victoria,St Andrews (Vic.),3761
Victoria,Bend Of Islands,3097
Victoria,Panton Hill,3759
Victoria,Smiths Gully,3760
Victoria,Strathewen,3099
Victoria,Christmas Hills (Vic.),3775
Victoria,Doreen,3754
Victoria,Cottles Bridge,3099
Victoria,Arthurs Creek,3099
Victoria,Nutfield,3099
Victoria,Plenty (Vic.),3090
Victoria,Yarrambat,3091
Victoria,Research,3095
Victoria,North Warrandyte,3113
Victoria,Kangaroo Ground,3097
Victoria,Diamond Creek,3089
Victoria,Wattle Glen,3096
Victoria,Wollert,3750
Victoria,Epping (Vic.),3076
Victoria,Lalor,3075
Victoria,Mill Park,3082
Victoria,South Morang,3752
Victoria,Mernda,3754
Victoria,Thomastown,3074
Victoria,Beveridge,3753
Victoria,Wallan,3756
Victoria,Wandong,3758
Victoria,Upper Plenty,3756
Victoria,Clonbinane,3658
Victoria,Heathcote Junction,3758
Victoria,Waterford Park,3658
Victoria,Humevale,3757
Victoria,Whittlesea,3757
Victoria,Yan Yean,3755
Victoria,Eden Park,3757
Victoria,Woodstock (Vic.),3751
Victoria,Airport West,3042
Victoria,Essendon Fields,3041
Victoria,Keilor,3036
Victoria,Tullamarine,3043
Victoria,Keilor Park,3042
Victoria,Keilor East,3033
Victoria,Avondale Heights,3034
Victoria,Niddrie,3042
Victoria,Essendon West,3040
Victoria,Strathmore Heights,3041
Victoria,Strathmore (Vic.),3041
Victoria,New Gisborne,3438
Victoria,Gisborne,3437
Victoria,Bullengarook,3437
Victoria,Gisborne South,3437
Victoria,Mount Macedon,3441
Victoria,Macedon,3440
Victoria,Riddells Creek,3431
Victoria,Goldie,3435
Victoria,Monegeetta,3433
