SUBURB,Oct - Dec 14,Jan - Mar 15,Apr - Jun 15,Jul - Sep 15,Oct - Dec 15,No of sales Oct - Dec 15,No of Sales 2015,Oct - Dec 14 - Oct - Dec 15,Jul - Sep 15 - Oct - Dec 15
COONANS HILL,740000,672000,746000,737500,802500,10,34,8.4,8.8
CORINELLA,455000,245500,420000,450000,412500,6,23,-9.3,-8.3
CORIO,245000,236000,237000,240300,248800,68,256,1.5,3.5
CORONET BAY,182500,225000,255000,215000,240500,10,47,31.8,11.9
CORRYONG,137500,125000,190000,153500,175000,6,24,27.3,14
COWES,385000,380000,424500,420000,437200,13,59,13.6,4.1
COWES WEST,350000,338500,310000,352000,330000,39,180,-5.7,-6.3
CRAIGIEBURN,371000,385000,396000,387800,410000,244,947,10.5,5.7
CRANBOURNE,335000,340000,347500,375000,360000,68,350,7.5,-4
CRANBOURNE EAST,417500,421800,440000,440000,450000,59,279,7.8,2.3
CRANBOURNE NORTH,375000,412100,400000,430000,440000,81,371,17.3,2.3
CRANBOURNE WEST,315000,309300,339500,371400,373100,80,403,18.4,0.5
CREMORNE,955000,935000,1457800,847500,1185000,7,26,24.1,39.8
CRESWICK,301300,265000,246500,265800,268800,16,63,-10.8,1.1
CRIB POINT,360000,357500,345000,327500,358000,13,54,-0.6,9.3
CROYDON,551400,550000,590000,650000,661800,103,456,20,1.8
CROYDON HILLS,635000,677500,650000,743300,722000,23,68,13.7,-2.9
CROYDON NORTH,662000,610000,667000,707500,765000,39,111,15.6,8.1
CROYDON SOUTH,559000,581000,565000,597500,620000,25,81,10.9,3.8
CURLEWIS,438000,340000,397500,395000,381000,8,23,-13,-3.5
DALLAS,292000,322500,315000,328300,318500,34,104,9.1,-3
DALYSTON,282500,259000,230000,257000,257000,0,9,NA,NA
DANDENONG,441000,452000,462500,501000,510500,64,275,15.8,1.9
DANDENONG NORTH,425000,437900,480600,489000,510000,63,277,20,4.3
DANDENONG SOUTH,723800,511100,600000,750800,594000,3,12,-17.9,-20.9
DARLEY,351000,360000,355000,378300,431000,43,139,22.8,13.9
DAYLESFORD,440000,384500,455500,436000,500000,23,87,13.6,14.7
DEEPDENE,1990000,2285000,2900000,3000000,2720000,11,35,36.7,-9.3
DEER PARK,370000,371000,388000,400000,395000,69,318,6.8,-1.3
DELACOMBE,301300,299500,310000,285000,296600,19,84,-1.5,4.1
DELAHEY,370000,375000,405000,405000,388800,30,94,5.1,-4
DENNINGTON,323500,385000,340000,332500,336000,10,34,3.9,1.1
